vp,aqk1,aqk2,aqk3,aqk4,aqk5,aqk6,aqk7,aqk8,aqk9,aqk10,aqk11,aqk12,aqk13,aqk14,aqk15,aqk16,aqk17,aqk18,aqk19,aqk20,aqk21,aqk22,aqk23,aqk24,aqk25,aqk26,aqk27,aqk28,aqk29,aqk30,aqk31,aqk32,aqk33,fze1,fze2,pic1a,pic1v,pic2a,pic2v,pic3a,pic3v,research,strategy,experience,age,study,semester,sight,correction,diopter_r,diopter_l,bemerkung
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
